# 中国高校名称
# 来自教育部门，包括部分曾用名
#
# 学校名称	英文名称

兰州教育学院	
兰州文理学院	Lanzhou University of Arts and Science
兰州服装职工大学	
兰州现代职业学院	Lanzhou Modern Vocational College
兰州理工大学	Lanzhou University of Technology
兰州理工大学技术工程学院	College of Technology and Engineering.LUT
兰州石化职业技术大学	Lanzhou Petrochemical University of Vocational Technology
兰州石化职业技术学院	
兰州科技职业学院	Lanzhou Vocational College of Science&Technology / Lanzhou Vocational College of Science & Technology
兰州职业技术学院	Lanzhou Vocational Technical College
兰州航空工业职工大学	
兰州航空职业技术学院	Lanzhou Aviation Technology College
兰州财经大学	Lanzhou University of Finance and Economics
兰州财经大学长青学院	
兰州财经大学陇桥学院	Longqiao College of Lanzhou University of Finance and Economics
兰州资源环境职业技术大学	Lanzhou Resources & Environment Voc-Tech University
兰州资源环境职业技术学院	
兰州铁路工程职工大学	
兰考三农职业学院	Lankao Vocational College of San Nong / Lankao Vocational and Technical College of Agriculture
共青科技职业学院	Gongqing Institute of Science and Technology
兴义民族师范学院	Xingyi Normal University for Nationalities
兴安职业技术学院	Xingan Vocational and Technical College / Xing An Vocational and Technical College
冀中职业学院	Jizhong Vocational College
内江卫生与健康职业学院	Neijiang Health Vocational College
内江师范学院	Neijiang Normal University
内江职业技术学院	Neijiang Vocational&Technical College / Neijiang Vocational & Technical College
内蒙古丰州职业学院	Inner Mongolia Fengzhou Vocational College
内蒙古交通职业技术学院	Inner Mongolia Vocational and Technical College of Communications / Inner Mongolia Jiaotong Vocational and Technical College of Communication
内蒙古体育职业学院	Inner Mongolia Vocational College of Physical Education
内蒙古农业大学	Inner Mongolia Agricultural University
内蒙古化工职业学院	Inner Mongolia Vocational College of Chemical Engineering
内蒙古北方职业技术学院	Inner Mongolia Northern Occupation Technique College
内蒙古医学院	
内蒙古医科大学	Inner Mongolia Medical University
内蒙古商贸职业学院	Inner Mongolia Business Vocational College / Inner Mongolia Business & Trade Vocational College
内蒙古大学	Inner Mongolia University
内蒙古大学创业学院	Pioneer College, Inner Mongolia University
内蒙古工业大学	Inner Mongolia University of Technology
内蒙古工业职业学院	Inner Mongolia Industrial College
内蒙古师范大学	Inner Mongolia Normal University
内蒙古师范大学鸿德学院	Honder College of Inner Mongolia Normal University
内蒙古建筑职业技术学院	Inner Mongola Techical College of Construction / Inner Mongolia Technical College of Construction
内蒙古开放大学	
内蒙古机电职业技术学院	Inner Mongolia Technical College of Mechanics and Electrics
内蒙古民族大学	Inner Mongolia University for Nationalities / Inner Mongolia Minzu University
内蒙古民族幼儿师范高等专科学校	Inner Mongolia Preschool Normal College / Inner Mongolia Preschool Teachers College
内蒙古民族高等专科学校	
内蒙古电子信息职业技术学院	Inner Mongolia Electronic Information Vocational Technical College
内蒙古科技大学	Inner Mongolia University of Science & Technology
内蒙古科技大学包头医学院	Baotou Medical College
内蒙古科技大学包头师范学院	Baotou Teachers' College
内蒙古科技职业学院	Inner Mongolia Technical and Vocational College
内蒙古经贸外语职业学院	Inner Mongolia Vocational Institute of Economy, Trade & Foreign Languages
内蒙古美术职业学院	The Art Vocational University Inner Mongolia / Inner Mongolia Art Vocational College
内蒙古能源职业学院	Inner Mongolia Energy Vocational College
内蒙古自治区广播电视大学	
内蒙古艺术学院	Inner Mongolia Arts University
内蒙古警察职业学院	Inner Mongolia Police Professional College
内蒙古财税职业学院	
内蒙古财经大学	Inner Mongolia University of Finance and Economics
内蒙古财经学院	
内蒙古轩元职业学院	
内蒙古鸿德文理学院	Southwest University of Science and Technology / Inner Mongolia Honder College of Arts and Sciences
农业部乡镇企业管理干部学院	
凯里学院	Kaili University
包头市职工大学	
包头职业技术学院	Baotou Vocational & Technical College
包头轻工职业技术学院	Baotou Light Industry Vocational Technical College
包头钢铁职业技术学院	Baotou Iron and Steel Vocational Technical College
包头铁道职业技术学院	Baotou Railway Vocational & Technical College
北京中医药大学	Beijing University of Chinese Medicine
北京中医药大学东方学院	Beijing University of Chinese Medicine Dongfang College
北京交通大学	Beijing Jiaotong University
北京交通大学海滨学院	Beijing Jiaotong University Haibin College
北京交通职业技术学院	Beijing Jiaotong Vocational Technical College
北京交通运输职业学院	Beijing Vocational Transportation College
北京京北职业技术学院	Beijing Jingbei Vocational College / Northern Beijing Vocational Education Institute
北京体育大学	Beijing Sport University
北京体育职业学院	Beijing College of Sports
北京信息工程学院	
北京信息科技大学	Beijing Information Science & Technology University
北京信息职业技术学院	Beijing information Technology College / Beijing Information Technology College
北京农业职业学院	Beijing Vocational College of Agriculture
北京农学院	Beijing University of Agriculture
北京劳动保障职业学院	Beijing Vocational College of Labour and Social Security
北京化工大学	Beijing University of Chemical Technology
北京北大方正软件职业技术学院	Peking University Founder Technology College
北京医药职工大学	
北京医药集团职工大学	
北京协和医学院	Peking Union Medical College
北京卫生职业学院	Beijing Health Vocational College
北京印刷学院	Beijing Institute of Graphic Communication
北京吉利大学	
北京吉利学院	Beijing Geely University
北京城市学院	Beijing City University
北京培黎职业学院	Beijing Bailie University
北京外国语大学	Beijing Foreign Studies University
北京大学	Peking University
北京宣武红旗业余大学	
北京工业大学	Beijing University of Technology
北京工业大学耿丹学院	Gengdan Institute of Beijing University of Technology
北京工业职业技术学院	Beijing Polytechnic College
北京工商大学	Beijing Technology and Business University
北京工商大学嘉华学院	Canvard College, Beijing Technology and Business University
北京市东城区职工业余大学	
北京市丰台区职工大学	
北京市农工商联合总公司职工大学	
北京市崇文区职工大学	
北京市建设职工大学	
北京市总工会职工大学	
北京市房地产职工大学	
北京市朝阳区职工大学	
北京市机械工业局职工大学	
北京市汽车工业总公司职工大学	
北京市海淀区职工大学	
北京市石景山区业余大学	
北京市职工体育运动技术学院	
北京市西城经济科学大学	
北京师范大学	Beijing Normal University
北京师范大学-香港浸会大学联合国际学院	Beijing Normal University-Hong Kong Baptist University United International College
北京师范大学珠海分校	Beijing Normal University, Zhuhai
北京广播电视大学	
北京建筑大学	Beijing University of Civil Engineering and Architecture
北京建筑工程学院	
北京开放大学	
北京戏曲艺术职业学院	Beijing Opera and Arts College / Beijing Opera Art's College
北京政法职业学院	Beijing College of Politics and Law
北京教育学院	
北京新圆明职业学院	
北京服装学院	Beijing Institute of Fashion Technology
北京机械工业学院	
北京林业大学	Beijing Forestry University
北京汇佳职业学院	Beijing Huijia Vocational College
北京物资学院	Beijing Wuzi University
北京现代职业技术学院	
北京理工大学	Beijing Institute of Technology
北京理工大学珠海学院	Beijing Institute of Technology, Zhuhai
北京电子科技学院	Beijing Electronic Science and Technology Institute
北京电子科技职业学院	Beijing Polytechnic
北京电影学院	Beijing Film Academy
北京电影学院现代创意媒体学院	Beijing Film Academy Modern Creative Media College
北京石油化工学院	Beijing Institute of Petrochemical Technology
北京社会管理职业学院	Beijing College of Social Administration
北京科技大学	University of Science and Technology Beijing
北京科技大学天津学院	Tianjin college, University of Science and Technology Beijing
北京科技经营管理学院	Beijing Science Technology and Management College
北京科技职业学院	University for Science & Technology, Beijing / University For Science & Technology,Beijing
北京第二外国语学院	Beijing International Studies University
