# 外国高校名
# 教育部认证院校查询 https://www.smartedu.cn/home/servicehall?name=RZYXCX
# 
# 中文名称	外文名称	国家

君士坦丁国家理工学院	Ecole Nationale Polytechnique de Constantine	阿尔及利亚
杰尔法大学	Université de Djelfa	阿尔及利亚
君士坦丁第二大学	Université de Constantine 2 - Abdelhamid Mehri	阿尔及利亚
开罗大学	Cairo University	埃及
开罗美国大学	The American University in Cairo	埃及
卡夫雷尔谢克大学	Kafrelsheikh University	埃及
开罗莫卡塔姆语言、口译、行政科学和计算机高等学院	معهد القاهرة العالى للغات والترجمة الفورية والعلوم الادارية والحاسب الالى بالمقطم	埃及
克莱姆斯高等专业学院	IMC Fachhochschule Krems GmbH.	奥地利
克莱姆斯多瑙大学	Donau-Universität Krems	奥地利
克恩藤高等专业学院	Fachhochschule Kärnten	奥地利
克拉根福大学	Universität Klagenfurt	奥地利
昆士兰科技大学	Queensland University of Technology	澳大利亚
昆士兰大学	The University of Queensland	澳大利亚
堪培拉大学	University of Canberra	澳大利亚
堪培拉技术学院	Canberra Institute of Technology	澳大利亚
康格巴曼技术与继续教育学院	Kangan Batman Institute of TAFE	澳大利亚
科廷学院	Curtin College	澳大利亚
康格学院	Kangan Institute	澳大利亚
卡普兰商学院	Kaplan Business School	澳大利亚
昆士兰商业技术学院	Queensland Institute of Business and Technology	澳大利亚
科廷大学	Curtin University	澳大利亚
昆士兰技术与继续教育学院	TAFE Queensland	澳大利亚
坎宁学院	Canning College	澳大利亚
科克大学学院	University College Cork	爱尔兰
喀布尔理工大学	Kabul Polytechnic University	阿富汗
卡丹大学	Kardan University	阿富汗
喀布尔大学	Kabul University	阿富汗
坎大哈大学	Kandahar University	阿富汗
卡泰布大学	Kateb University	阿富汗
康斯坦丁门托里兄弟第一大学	Université des Frères Mentouri Constantine 1	阿尔及利亚
卡布斯苏丹大学	Sultan Qaboos University	阿曼
科尔多瓦天主教大学	Universidad Católica de Córdoba	阿根廷
科尔多瓦国立大学	Universidad Nacional de Córdoba	阿根廷
卡西米亚大学	Al Qasimiya University	阿联酋
莱奥本矿业大学	Montanuniversität Leoben	奥地利
林茨艺术与工业设计大学	Universität für künstlerische und industrielle Gestaltung Linz	奥地利
林茨教区私立师范学院	Private Pädagogische Hochschule der Diözese Linz	奥地利
林茨大学	Johannes Kepler Universität Linz	奥地利
乐卓博大学	La Trobe University	澳大利亚
拉筹伯学院	La Trobe College	澳大利亚
拉萨尔学院墨尔本分校	LCI Melbourne	澳大利亚
里昂学院	Lyons College	澳大利亚
利默里克大学	University of Limerick	爱尔兰
拉里奥哈国立大学	Universidad Nacional de La Rioja	阿根廷
洛马斯德萨莫拉国立大学	Universidad Nacional de Lomas de Zamora	阿根廷
罗萨里奥国立大学	Universidad Nacional de Rosario	阿根廷
拉丁美洲社会科学院（FLACSO）	Facultad Latinoamericana de Ciencias Sociales (FLACSO)	阿根廷
拉努斯国立大学	Universidad Nacional de Lanús	阿根廷
曼苏拉大学	Mansoura University	埃及
米尼亚大学	Minia University	埃及
梅努菲亚大学	Menoufia University	埃及
默克莱大学	Mekelle University	埃塞俄比亚
麦考瑞大学	Macquarie University	澳大利亚
莫纳什大学	Monash University	澳大利亚
莫道克大学	Murdoch University	澳大利亚
墨尔本大学	The University of Melbourne	澳大利亚
莫纳什学院	Monash College	澳大利亚
墨尔本商业技术学院	Melbourne Institute of Business and Technology	澳大利亚
墨尔本理工学院	Melbourne Polytechnic	澳大利亚
墨尔本技术学院	Melbourne Institute of Technology	澳大利亚
芒斯特省理工大学	Munster Technological University	爱尔兰
麦旺高等教育学院	Maiwand Institute of Higher Education	阿富汗
莫斯塔加涅姆阿卜杜勒·哈米德·伊本·巴迪斯大学	Université Abdelhamid Ibn Badis Mostaganem	阿尔及利亚
穆罕默德·阿勒巴希尔·阿勒易卜拉欣-博尔吉·布阿雷里德大学	Université Mohamed El Bachir El Ibrahimi de Bordj Bou Arréridj El-Anasser	阿尔及利亚
美洲开放大学	Universidad Abierta Interamericana	阿根廷
贸易科学高级研究基金会私立学院	Instituto Privado “Fundación Altos Estudios en Ciencias Comerciales”	阿根廷
迈蒙尼德大学	Universidad Maimónides	阿根廷
穆罕默德·本·扎耶德人工智能大学	Mohamed Bin Zayed\nUniversity of Artificial Intelligence	阿联酋
南十字星大学	Southern Cross University	澳大利亚
纽卡斯尔大学	The University of Newcastle	澳大利亚
南澳大利亚大学	University of South Australia	澳大利亚
南昆士兰大学	University of Southern Queensland	澳大利亚
南澳大利亚技术与继续教育学院	TAFE SA	澳大利亚
南澳大利亚商业技术学院	South Australian Institute of Business and Technology	澳大利亚
南十字星教育学院	Southern cross education institute	澳大利亚
楠格哈尔大学	Nangarhar University	阿富汗
南方大学	Universidad Austral	阿根廷
奇泽姆技术与继续教育学院	Chisholm Institute of TAFE	澳大利亚
企业与社会科学大学	Universidad de Ciencias Empresariales y Sociales	阿根廷
苏伊士运河大学	Suez Canal University	埃及
苏伊士大学	Suez University	埃及
十月六日大学	October 6 University	埃及
萨尔茨堡莫扎特大学	Universität Mozarteum Salzburg	奥地利
萨尔茨堡大学	Universität Salzburg	奥地利
