始于一而终于九	shi yu yi er zhong yu jiu
始于一刻	shi yu yi ke
始于一戎定	shi yu yi rong ding
始于一十二刻六分	shi yu yi shi er ke liu fen
始于兹矣	shi yu zi yi
始于足	shi yu zu
始于足下	shi yu zu xia
始余倦游念还家	shi yu juan you nian huan jia
始余于官舍营东轩	shi yu yu guan she ying dong xuan
始於杨氏	shi yu yang shi
始欲老蚕耕	shi yu lao can geng
始欲求方救憔悴	shi yu qiu fang jiu qiao cui
始欲投三峡	shi yu tou san xia
始欲知郎时	shi yu zhi lang shi
始遇兹管赏	shi yu zi guan shang
始元	shi yuan
始愿	shi yuan
始愿不及此	shi yuan bu ji ci
始愿今不从	shi yuan jin bu cong
始愿今可就	shi yuan jin ke jiu
始愿今如此	shi yuan jin ru ci
始愿乃丘壑	shi yuan nai qiu he
始愿文经国	shi yuan wen jing guo
始愿与金石	shi yuan yu jin shi
始源	shi yuan
始源之海	shi yuan zhi hai
始蚖科	shi yuan ke
始螈科	shi yuan ke
始曰征伐非	shi yue zheng fa fei
始阅故人新	shi yue gu ren xin
始云避世患	shi yun bi shi huan
始云启闻	shi yun qi wen
始赞荆轲	shi zan jing ke
始造对问	shi zao dui wen
始造双林寂	shi zao shuang lin ji
始则地名全节	shi ze di ming quan jie
始则王子召戎	shi ze wang zi zhao rong
始扎	shi zha
始站简称	shi zhan jian cheng
始照寒池碧	shi zhao han chi bi
始肇半章	shi zhao ban zhang
始诏道调法曲与胡部新声合作	shi zhao dao tiao fa qu yu hu bu xin sheng he zuo
始者不如今	shi zhe bu ru jin
始者行赈施	shi zhe xing zhen shi
始者学书判	shi zhe xue shu pan
始正而末奇	shi zheng er mo qi
始正天纲	shi zheng tian gang
始之以曹沫	shi zhi yi cao mo
始之有经	shi zhi you jing
始制文字	shi zhi wen zi
始制有名	shi zhi you ming
始知	shi zhi
始知灞上为婴孩	shi zhi ba shang wei ying hai
始知百炼是精金	shi zhi bai lian shi jing jin
始知百世下	shi zhi bai shi xia
始知边将真富贵	shi zhi bian jiang zhen fu gui
始知不才者	shi zhi bu cai zhe
始知不见高皇帝	shi zhi bu jian gao huang di
始知补元化	shi zhi bu yuan hua
始知成败尽由人	shi zhi cheng bai jin you ren
始知程路长	shi zhi cheng lu chang
始知出处心	shi zhi chu chu xin
始知此生浮	shi zhi ci sheng fu
始知丹青笔	shi zhi dan qing bi
始知德不修	shi zhi de bu xiu
始知地上有神仙	shi zhi di shang you shen xian
始知帝乡客	shi zhi di xiang ke
始知东里解言天	shi zhi dong li jie yan tian
始知缚虎如缚鼠	shi zhi fu hu ru fu shu
始知高兴尽	shi zhi gao xing jin
始知更有扶桑东	shi zhi geng you fu sang dong
始知共此世	shi zhi gong ci shi
始知功用能	shi zhi gong yong neng
始知孤负平生耳	shi zhi gu fu ping sheng er
始知骨肉爱	shi zhi gu rou ai
始知官职为他人	shi zhi guan zhi wei ta ren
始知豪杰意	shi zhi hao jie yi
始知和气待迎新	shi zhi he qi dai ying xin
始知欢乐生忧患	shi zhi huan le sheng you huan
始知姬旦无才思	shi zhi ji dan wu cai si
始知寂灭乐	shi zhi ji mie le
始知驾鹤乘云外	shi zhi jia he cheng yun wai
始知将谷神	shi zhi jiang gu shen
始知江湖阔	shi zhi jiang hu kuo
始知江左未风流	shi zhi jiang zuo wei feng liu
始知郊田之外未始无春	shi zhi jiao tian zhi wai wei shi wu chun
始知结衣裳	shi zhi jie yi shang
始知解爱山中宿	shi zhi jie ai shan zhong su
始知今奏乐	shi zhi jin zou yue
始知进退各有理	shi zhi jin tui ge you li
始知金仙妙	shi zhi jin xian miao
始知经济心	shi zhi jing ji xin
始知静刚猛	shi zhi jing gang meng
始知静者妙	shi zhi jing zhe miao
始知静者闲	shi zhi jing zhe xian
始知绝粒人	shi zhi jue li ren
始知君惠重	shi zhi jun hui zhong
始知君念重	shi zhi jun nian zhong
始知君子心	shi zhi jun zi xin
始知空有尘	shi zhi kong you chen
始知乐与时政通	shi zhi le yu shi zheng tong
始知吏役身	shi zhi li yi shen
始知李太守	shi zhi li tai shou
始知临海趣	shi zhi lin hai qu
始知灵境绝	shi zhi ling jing jue
始知鲁卫间	shi zhi lu wei jian
始知洛下分司坐	shi zhi luo xia fen si zuo
始知忙里事俱非	shi zhi mang li shi ju fei
始知名将出书生	shi zhi ming jiang chu shu sheng
始知名野葛	shi zhi ming ye ge
始知泥步泉	shi zhi ni bu quan
始知年少求名处	shi zhi nian shao qiu ming chu
始知年与貌	shi zhi nian yu mao
始知蓬山下	shi zhi peng shan xia
始知千载内	shi zhi qian zai nei
始知禽兽痴	shi zhi qin shou chi
始知秦地有将军	shi zhi qin di you jiang jun
始知清夏月	shi zhi qing xia yue
始知人好似梅花	shi zhi ren hao si mei hua
始知人老不如花	shi zhi ren lao bu ru hua
始知杀气严	shi zhi sha qi yan
始知山简绕	shi zhi shan jian rao
始知上帝垂旌	shi zhi shang di chui jing
始知神龙别有种	shi zhi shen long bie you zhong
始知身富贵	shi zhi shen fu gui
始知身世是虚舟	shi zhi shen shi shi xu zhou
始知身是剑南官	shi zhi shen shi jian nan guan
始知身是客	shi zhi shen shi ke
始知身是太平人	shi zhi shen shi tai ping ren
始知生女与男同	shi zhi sheng nv yu nan tong
始知世上客	shi zhi shi shang ke
始知世上人	shi zhi shi shang ren
始知世上术	shi zhi shi shang shu
始知什袭但遮壁	shi zhi shi xi dan zhe bi
始知使君贤	shi zhi shi jun xian
始知时节驶	shi zhi shi jie shi
始知随事静	shi zhi sui shi jing
始知所历妙	shi zhi suo li miao
始知锁向金笼听	shi zhi suo xiang jin long ting
始知天地间	shi zhi tian di jian
始知天降火	shi zhi tian jiang huo
始知天上极清凉	shi zhi tian shang ji qing liang
始知天上文星失	shi zhi tian shang wen xing shi
始知天上有将军	shi zhi tian shang you jiang jun
始知天下心	shi zhi tian xia xin
始知天下有奇才	shi zhi tian xia you ji cai
始知天下有奇才	shi zhi tian xia you qi cai
始知天造空闲境	shi zhi tian zao kong xian jing
始知亭伯去	shi zhi ting bo qu
始知听韶濩	shi zhi ting shao hu
始知听韶获	shi zhi ting shao huo
始知同泰讲	shi zhi tong tai jiang
始知万类然	shi zhi wan lei ran
始知万族无不有	shi zhi wan zu wu bu you
始知玩物化	shi zhi wan wu hua
始知妄穷而真独露	shi zhi wang qiong er zhen du lu
始知望幸色	shi zhi wang xing se
始知为客苦	shi zhi wei ke ku
始知为客情	shi zhi wei ke qing
始知五岳外	shi zhi wu yue wai
始知吴楚水	shi zhi wu chu shui
始知无尽本无灯	shi zhi wu jin ben wu deng
始知无择得此道	shi zhi wu ze de ci dao
始知无正色	shi zhi wu zheng se
始知梧桐枝	shi zhi wu tong zhi
始知武皇求不死	shi zhi wu huang qiu bu si
始知物妙皆可怜	shi zhi wu miao jie ke lian
始知物外情	shi zhi wu wai qing
始知西峙岳	shi zhi xi zhi yue
始知仙事无不有	shi zhi xian shi wu bu you
始知贤主人	shi zhi xian zhu ren
始知相忆深	shi zhi xiang yi shen
始知谢遣素与蛮	shi zhi xie qian su yu man
始知心未觉	shi zhi xin wei jue
始知形神内	shi zhi xing shen nei
始知行乐贵	shi zhi xing le gui
始知喧竞场	shi zhi xuan jing chang
始知杨柳隔天涯	shi zhi yang liu ge tian ya
始知阳春后	shi zhi yang chun hou
始知尧舜德	shi zhi yao shun de
始知尧舜深	shi zhi yao shun shen
始知夜漏催	shi zhi ye lou cui
始知一炬力	shi zhi yi ju li
始知阴气凝	shi zhi yin qi ning
始知嬴女善吹箫	shi zhi ying nv shan chui xiao
始知游子悲故乡	shi zhi you zi bei gu xiang
始知宇宙阔	shi zhi yu zhou kuo
始知圆泽贤	shi zhi yuan ze xian
始知缘会间	shi zhi yuan hui jian
始知云雨峡	shi zhi yun yu xia
始知造化偏	shi zhi zao hua pian
始知真放本精微	shi zhi zhen fang ben jing wei
始知真国士	shi zhi zhen guo shi
始知真隐者	shi zhi zhen yin zhe
始知知音稀	shi zhi zhi yin xi
始知中国人	shi zhi zhong guo ren
始知众星干	shi zhi zhong xing gan
始知众星乾	shi zhi zhong xing qian
始知终是福唐人	shi zhi zhong shi fu tang ren
始知诸曲不可比	shi zhi zhu qu bu ke bi
始知壮士独无愧	shi zhi zhuang shi du wu kui
始知浊酒贤	shi zhi zhuo jiu xian
始致海内平	shi zhi hai nei ping
始中	shi zhong
始中原之乏主	shi zhong yuan zhi fa zhu
始终	shi zhong
始终不过一场繁华	shi zhong bu guo yi chang fan hua
始终不我负	shi zhong bu wo fu
始终不懈	shi zhong bu xie
始终不易	shi zhong bu yi
始终不渝	shi zhong bu yu
始终穿着	shi zhong chuan zhe
始终存在	shi zhong cun zai
始终都应存在保险利益	shi zhong dou ying cun zai bao xian li yi
始终过来	shi zhong guo lai
始终好古儒林士	shi zhong hao gu ru lin shi
始终会行运	shi zhong hui xing yun
